Title,URL
"How to motivate yourself to change your behavior","https://www.youtube.com/watch?v=xp0O2vi8DX4"
"How to Succeed Without Confidence, Motivation, or Healing","https://www.youtube.com/watch?v=DCh3N2ulmJY"
"How to Love Yourself to the Core","https://www.youtube.com/watch?v=ZQNk7KVU_6A"
"How to Be Happy Every Day: It Will Change the World","https://www.youtube.com/watch?v=78nsxRxbf4w"
"Own your face","https://www.youtube.com/watch?v=QbxinUJcLGg"
"The Simple Secret of Being Happier STAR！！！","https://www.youtube.com/watch?v=gYeHV_nA36c"
"The Secret of Becoming Mentally Strong STAR！","https://www.youtube.com/watch?v=TFbv757kup4"
"The Magic of Not Giving a F***","https://www.youtube.com/watch?v=GwRzjFQa_Og"
"How to challenge your negative self-talk STAR！","https://www.youtube.com/watch?v=JkB7hJan0Q0"
"How I Overcame My Fear of Public Speaking STAR！！","https://www.youtube.com/watch?v=aImrjNPrh30"
"Speaking Up Without Freaking Out STAR！！！","https://www.youtube.com/watch?v=XIXvKKEQQJo"
"5 steps to designing the life you want STAR！！","https://www.youtube.com/watch?v=SemHh0n19LA"
"How to Deal with Difficult People STAR！！","https://www.youtube.com/watch?v=kARkOdRHaj8"
"How to deal with toxic family relationships STAR！！","https://www.youtube.com/watch?v=k2oDeOmNqbA"
"Attachment theory is the science of love STAR！！","https://www.youtube.com/watch?v=9idayJyWCWs"
"You Don't Find Happiness, You Create It STAR！！","https://www.youtube.com/watch?v=9DtcSCFwDdw"
"How to save lives with two minutes of listening STAR！！","https://www.youtube.com/watch?v=RYzl1KlOqJk"
"How AI could steal your digital likeness STAR！！","https://www.youtube.com/watch?v=8a1W7d0NmKo"
"How Machine Learning Reduces People to Patterns, Missing True Connection","https://www.youtube.com/watch?v=83t9Mkv0ZOQ"
"如何改变不健康的工作环境","https://www.youtube.com/watch?v=eYLb7WUtYt8"
"Beautiful minds are free from fear","https://www.youtube.com/watch?v=1XDpa2HLXV0"
"Quit social media","https://www.youtube.com/watch?v=3E7hkPZ-HTk"
"Smartphones: It’s Time to Confront Our Global Addiction STAR！","https://www.youtube.com/watch?v=2ldLwkj4dRc"
"SOCIAL MEDIA ADDICTION STAR！","https://www.youtube.com/watch?v=JH5bC-SLvb4"
"What makes a great power great? Unpacking global influence","https://www.youtube.com/watch?v=Hdv6z-54Qrw"
"La Memoria come pratica Antimafia STAR!!","https://www.youtube.com/watch?v=Glr50TMxSV0"
"Reclaim your love of teaching","https://www.youtube.com/watch?v=1najAXi1oYQ"
"Encourage critical thinking with 3 questions","https://www.youtube.com/watch?v=0hoE8mtUS1E"
"Intermittent Fasting: Transformational Technique STAR!","https://www.youtube.com/watch?v=A6Dkt7zyImk"
"How Storytelling Can Heal Trauma and Our Divided World STAR！！","https://www.youtube.com/watch?v=ymJX7Qdygwo"
"7 Ways to Make a Conversation With Anyone","https://www.youtube.com/watch?v=F4Zu5ZZAG7I"
"How to manage your mental health","https://www.youtube.com/watch?v=rkZl2gsLUp4"
"How music can future proof your brain STAR!!!","https://www.youtube.com/watch?v=HBtGurhQC64"
"How Meditation Can Reshape Our Brains STAR!","https://www.youtube.com/watch?v=m8rRzTtP7Tc"
"30 seconds to mindfulness STAR!!","https://www.youtube.com/watch?v=ad7HqXEc2Sc"
"Secrets of the 6%: How to Achieve Your Goals in Business and Life STAR!","https://www.youtube.com/watch?v=_loo9JkX_FY"
"How to improve your workplace relationships STAR!!!","https://www.youtube.com/watch?v=WHzmRTzMKRI"
"How AI Immersive Learning Reshapes Education and Work STAR!!!","https://www.youtube.com/watch?v=Cj7DUKX8P3I"
"AI in Schools: Cheater or Tutor? STAR!!","https://www.youtube.com/watch?v=xgqiGuIV6-Q"
"The Secret to Understanding Humans","https://www.youtube.com/watch?v=RSlc9IxdBw8"
"Historia de un emprendedor","https://www.youtube.com/watch?v=TGIp0jehZXE"
"My Life Journey With NO IFs & BUTs","https://www.youtube.com/watch?v=gdRiTEAiiy4"
"Education Reimagined: Student-led Learning STAR!!","https://www.youtube.com/watch?v=9IbN1LxXevM"
"Technology, The best or worst thing for education","https://www.youtube.com/watch?v=EfXNJztx_R0"
"How to use fear as fuel STAR!","https://www.youtube.com/watch?v=9mVlAzX55HU"
"What If?","https://www.youtube.com/watch?v=cWnt2ND50Ro"
"Nacido para emprender","https://www.youtube.com/watch?v=xwNqcQ4_o_w"
"Transforma tu realidad SPECIAL STAR!","https://www.youtube.com/watch?v=l9EOVWeI0D0"
"The Power of Ambition STAR！","https://www.youtube.com/watch?v=TtffCNeZETI"
"Unexplored Ways","https://www.youtube.com/watch?v=xhnas_06xEE"
"A Life with New Passions Everyday","https://www.youtube.com/watch?v=9mVlAzX55HU"
"Depression and spiritual awakening -- two sides of one door","https://www.youtube.com/watch?v=JGxWT4EUVbs"
"The Medicine of Frequencies. What did Einstein mean?","https://www.youtube.com/watch?v=HA-0rvrWu7c"
"Resilience: How to Emerge from your Tragedies Stronger","https://www.youtube.com/watch?v=yL9GAoBYa3g"
"A Better Way to Talk About Resilience","https://www.youtube.com/watch?v=G_3cvSZiFVs"
"How to build resilient children","https://www.youtube.com/watch?v=LihbTawabUg"
"The importance of pain on the path to resilience","https://www.youtube.com/watch?v=yDTcAeSTXOs"
"How Leaders Tell Stories","https://www.youtube.com/watch?v=GYmghUsMojE"
"How to make space in a world with too much technology","https://www.youtube.com/watch?v=mZ72nuAjNNs"
"Menos emoção e mais razão STAR！","https://www.youtube.com/watch?v=RSlc9IxdBw8"
